instr_done_keyboard.keys,instr_done_keyboard.rt,instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instruction_pages.thisRepN,instruction_pages.thisTrialN,instruction_pages.thisN,instruction_pages.thisIndex,instruction_pages.ran,pageN,phase,instruct_text,has_image,instruct_image,participant,date,expName,psychopyVersion,OS,frameRate,response.keys,response.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,TrialID,StimulusType,Condition,PrimeDuration,Prime,Target,corrAns,instr_done_touch.clicked_name,end_of_practice_trials_pages.thisRepN,end_of_practice_trials_pages.thisTrialN,end_of_practice_trials_pages.thisN,end_of_practice_trials_pages.thisIndex,end_of_practice_trials_pages.ran,break_done_touch.x,break_done_touch.y,break_done_touch.leftButton,break_done_touch.midButton,break_done_touch.rightButton,break_done_keyboard.keys,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3184,-0.2984,1,0,0,0.981315,button_left,0.981315,1,,,,,,249,NW,UN,50,milted,BATROL,a,,,,,,,-0.3184,-0.2984,1,0,0,,0,23,23,428,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3712,-0.3432,1,0,0,0.765225,button_right,0.765225,1,,,,,,210,WORD,UN,33,infect,MONKEY,l,,,,,,,0.3712,-0.3432,1,0,0,,0,24,24,149,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3552,-0.268,1,0,0,0.86652,button_left,0.86652,0,,,,,,193,WORD,UN,33,mildew,OBJECT,l,,,,,,,-0.3552,-0.268,1,0,0,,0,25,25,132,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2528,-0.3,1,0,0,1.01541,button_left,1.01541,1,,,,,,254,NW,UN,50,apight,VAROSH,a,,,,,,,-0.2528,-0.3,1,0,0,,0,26,26,433,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.416,-0.2984,1,0,0,1.365555,button_left,1.365555,1,,,,,,423,NW,UN,33,praile,STRELD,a,,,,,,,-0.416,-0.2984,1,0,0,,0,27,27,362,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3184,-0.2728,1,0,0,1.315,button_left,1.315,1,,,,,,304,NW,"ID",33,cludie,CLUDIE,a,,,,,,,-0.3184,-0.2728,1,0,0,,0,28,28,243,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2208,-0.292,1,0,0,1.480975,button_left,1.480975,1,,,,,,398,NW,"ID",50,blunde,BLUNDE,a,,,,,,,-0.2208,-0.292,1,0,0,,0,29,29,337,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4688,-0.3368,1,0,0,1.214805,button_right,1.214805,1,,,,,,11,WORD,UN,50,amount,CRUISE,l,,,,,,,0.4688,-0.3368,1,0,0,,0,30,30,190,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4448,-0.2776,1,0,0,0.88141,button_right,0.88141,1,,,,,,160,WORD,"ID",50,violet,VIOLET,l,,,,,,,0.4448,-0.2776,1,0,0,,0,31,31,99,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3008,-0.3096,1,0,0,1.248225,button_right,1.248225,1,,,,,,228,WORD,UN,33,kidney,MASTER,l,,,,,,,0.3008,-0.3096,1,0,0,,0,32,32,167,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3056,-0.308,1,0,0,1.347845,button_left,1.347845,1,,,,,,318,NW,"ID",33,reagly,REAGLY,a,,,,,,,-0.3056,-0.308,1,0,0,,0,33,33,257,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4064,-0.284,1,0,0,0.981345,button_right,0.981345,1,,,,,,238,WORD,UN,33,behalf,FLOWER,l,,,,,,,0.4064,-0.284,1,0,0,,0,34,34,177,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.4192,-0.1896,1,0,0,1.49821,button_right,1.49821,1,,,,,,124,WORD,"ID",50,blouse,BLOUSE,l,,,,,,,0.3344,-0.3656,1,0,0,,0,35,35,63,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.5024,-0.2056,1,0,0,1.430895,button_right,1.430895,1,,,,,,97,WORD,"ID",33,client,CLIENT,l,,,,,,,0.5024,-0.2056,1,0,0,,0,36,36,36,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3216,-0.2664,1,0,0,0.79882,button_right,0.79882,1,,,,,,8,WORD,UN,50,hustle,ABRUPT,l,,,,,,,0.3216,-0.2664,1,0,0,,0,37,37,187,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3904,-0.2888,1,0,0,0.91475,button_left,0.91475,1,,,,,,330,NW,"ID",33,kensom,KENSOM,a,,,,,,,-0.3904,-0.2888,1,0,0,,0,38,38,269,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3296,-0.3096,1,0,0,1.414535,button_right,1.414535,1,,,,,,165,WORD,"ID",50,invest,INVEST,l,,,,,,,0.3296,-0.3096,1,0,0,,0,39,39,104,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.36,-0.3224,1,0,0,0.74748,button_right,0.74748,1,,,,,,141,WORD,"ID",50,orphan,ORPHAN,l,,,,,,,0.36,-0.3224,1,0,0,,0,40,40,80,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3024,-0.2984,1,0,0,0.81487,button_left,0.81487,1,,,,,,399,NW,"ID",50,fouret,FOURET,a,,,,,,,-0.3024,-0.2984,1,0,0,,0,41,41,338,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2976,-0.3048,1,0,0,1.298375,button_left,1.298375,1,,,,,,305,NW,"ID",33,forgle,FORGLE,a,,,,,,,-0.2976,-0.3048,1,0,0,,0,42,42,244,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3248,-0.324,1,0,0,0.96515,button_left,0.96515,1,,,,,,338,NW,"ID",33,wreash,WREASH,a,,,,,,,-0.3248,-0.324,1,0,0,,0,43,43,277,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3552,-0.34,1,0,0,1.71496,button_right,1.71496,1,,,,,,110,WORD,"ID",33,polite,POLITE,l,,,,,,,0.3552,-0.34,1,0,0,,0,44,44,49,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.3264,-0.3176,1,0,0,0.965275,button_right,0.965275,1,,,,,,182,WORD,UN,33,absent,WINTER,l,,,,,,,0.3264,-0.3176,1,0,0,,0,45,45,121,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.3056,-0.3192,1,0,0,1.031275,button_left,1.031275,1,,,,,,380,NW,"ID",50,cavory,CAVORY,a,,,,,,,-0.3056,-0.3192,1,0,0,,0,46,46,319,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.2784,-0.3176,1,0,0,0.96567,button_left,0.96567,1,,,,,,469,NW,UN,33,crudio,PADIFS,a,,,,,,,-0.2784,-0.3176,1,0,0,,0,47,47,408,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,-0.216,-0.3496,1,0,0,0.9151,button_left,0.9151,1,,,,,,293,NW,UN,50,inhort,SWANCE,a,,,,,,,-0.216,-0.3496,1,0,0,,0,48,48,472,1
,,,,,,,,,,,,,,,,,999,2020-07-26_14h05.12.032,lexical_decision_task_MP,2020.1.3,Win32,60,,0,0.5088,-0.2968,1,0,0,0.86298,button_right,0.86298,1,,,,,,63,WORD,"ID",33,launch,LAUNCH,l,,,,,,,0.5088,-0.2968,1,0,0,,0,49,49,2,1
